Index	Label
0	Ankle boot
1	T-shirt/top
2	T-shirt/top
3	Dress
4	T-shirt/top
5	Pullover
6	Sneaker
7	Pullover
8	Sandal
9	Sandal
10	T-shirt/top
11	Ankle boot
12	Sandal
13	Sandal
14	Sneaker
15	Ankle boot
16	Trouser
17	T-shirt/top
18	Shirt
19	Coat
20	Dress
21	Trouser
22	Coat
23	Bag
24	Coat
25	Dress
26	T-shirt/top
27	Pullover
28	Coat
29	Coat
30	Sandal
31	Dress
32	Shirt
33	Shirt
34	T-shirt/top
35	Bag
36	Sandal
37	Pullover
38	Trouser
39	Shirt
40	Shirt
41	Sneaker
42	Ankle boot
43	Sandal
44	Ankle boot
45	Pullover
46	Sneaker
47	Dress
48	T-shirt/top
49	Dress
50	Dress
51	Dress
52	Sneaker
53	Pullover
54	Pullover
55	Shirt
56	Shirt
57	Bag
58	Dress
59	Dress
60	Sandal
61	T-shirt/top
62	Sandal
63	Sandal
64	T-shirt/top
65	Pullover
66	T-shirt/top
67	T-shirt/top
68	Coat
69	Trouser
70	Dress
71	Trouser
72	Shirt
73	Dress
74	Trouser
75	Coat
76	Coat
77	Shirt
78	Trouser
79	Ankle boot
80	Trouser
81	Dress
82	Sandal
83	Sneaker
84	Ankle boot
85	Sneaker
86	Trouser
87	Sneaker
88	Ankle boot
89	Ankle boot
90	Ankle boot
91	Dress
92	Pullover
93	Ankle boot
94	Dress
95	Shirt
96	Coat
97	Trouser
98	Trouser
99	Bag
100	Bag
101	T-shirt/top
102	Trouser
103	Trouser
104	Shirt
105	Bag
106	Trouser
107	Ankle boot
108	Sneaker
109	Bag
110	Bag
111	Ankle boot
112	Shirt
113	Shirt
114	Dress
115	Trouser
116	Sandal
117	Coat
118	Shirt
119	Sneaker
120	Sandal
121	Sandal
122	Ankle boot
123	Pullover
124	Pullover
125	Pullover
126	Sneaker
127	Shirt
128	Coat
129	Trouser
130	Bag
131	Sneaker
132	Sneaker
133	Sandal
134	Coat
135	Pullover
136	Ankle boot
137	Trouser
138	Sneaker
139	Coat
140	Shirt
141	Ankle boot
142	Sneaker
143	Trouser
144	Bag
145	Sneaker
146	Trouser
147	Pullover
148	Bag
149	T-shirt/top
150	Ankle boot
151	Trouser
152	Bag
153	Sneaker
154	T-shirt/top
155	Sandal
156	Bag
157	Shirt
158	Sneaker
159	Pullover
160	T-shirt/top
161	Bag
162	Sneaker
163	Trouser
164	Shirt
165	Pullover
166	Trouser
167	Ankle boot
168	Shirt
169	T-shirt/top
170	Trouser
171	T-shirt/top
172	Sandal
173	Sandal
174	Trouser
175	Sneaker
176	T-shirt/top
177	Sandal
178	Bag
179	Coat
180	T-shirt/top
181	Coat
182	T-shirt/top
183	Shirt
184	Shirt
185	Coat
186	T-shirt/top
187	T-shirt/top
188	Coat
189	Sneaker
190	Dress
191	T-shirt/top
192	Sandal
193	Bag
194	Coat
195	Trouser
196	Trouser
197	Pullover
198	Ankle boot
199	Pullover
200	Bag
201	Sandal
202	T-shirt/top
203	Shirt
204	Dress
205	Coat
206	Shirt
207	T-shirt/top
208	Ankle boot
209	Trouser
210	Sneaker
211	Dress
212	Bag
213	Sandal
214	Bag
215	Dress
216	Bag
217	Sandal
218	Pullover
219	T-shirt/top
220	Bag
221	Sneaker
222	T-shirt/top
223	Dress
224	Sandal
225	T-shirt/top
226	Shirt
227	Sandal
228	Pullover
229	Sneaker
230	Sandal
231	Pullover
232	Shirt
233	Bag
234	Pullover
235	Shirt
236	Bag
237	T-shirt/top
238	Coat
239	Coat
240	Coat
241	Coat
242	Coat
243	Trouser
244	Sandal
245	Shirt
246	Sandal
247	Dress
248	Dress
249	Sneaker
250	Dress
251	Dress
252	Shirt
253	Pullover
254	Bag
255	Coat
256	Shirt
257	Sandal
258	Ankle boot
259	Dress
260	Pullover
261	Dress
